Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2020-07-07,0.005970689980313182,0.010456402087584138,0.013977263122797012,0.019012517295777798,0.05455843582749352,0.013977263,0.017190306,0.013148966,0.0027024546,0.23718019,Chittagong,Bandarban,7,7,2020
2018-07-16,0.0048409632756374775,0.008915271377190948,0.012537904549390078,0.018201626371592283,0.05458698701113455,0.012537904,0.016229516,0.013833809,0.0022140646,0.18723954,Chittagong,Bandarban,16,7,2018
2020-08-08,0.008841048926115036,0.01486994931474328,0.01942293904721737,0.026356980204582214,0.06932114306837299,0.019422939,0.023642156,0.01705105,0.0043222844,0.26535267,Chittagong,Bandarban,8,8,2020
2019-03-18,0.04169665202498436,0.06940780580043793,0.09164616838097572,0.1183547917753458,0.19342452436685562,0.091646165,0.098031804,0.039605137,0.026326554,0.40112785,Chittagong,Bandarban,18,3,2019
2017-07-24,0.005201234680134803,0.010192962130531669,0.014333661645650864,0.020982619374990463,0.07011419981718055,0.014333662,0.019300222,0.01773231,0.002362237,0.23803617,Chittagong,Bandarban,24,7,2017
2017-03-10,0.037945970240980384,0.07382086478173733,0.09971736371517181,0.12951089069247246,0.2029263570904728,0.09971736,0.104934596,0.043417256,0.019666359,0.3967545,Chittagong,Bandarban,10,3,2017
2017-08-01,0.007777085120324045,0.014343855669721961,0.019037049263715744,0.02569666411727667,0.07415459342300866,0.01903705,0.023622522,0.018771287,0.0038628955,0.3229234,Chittagong,Bandarban,1,8,2017
2019-09-02,0.008678952883929014,0.01391245354898274,0.018155187368392944,0.02521079732105136,0.07996938750147817,0.018155187,0.023824586,0.02113475,0.004743892,0.34713668,Chittagong,Bandarban,2,9,2019
2017-04-27,0.006888426444493234,0.014696440659463406,0.020722529850900173,0.029689278453588486,0.06666471771895877,0.02072253,0.024748202,0.016311346,0.0035560355,0.24443664,Chittagong,Bandarban,27,4,2017
2019-04-19,0.02484790268354118,0.04757511243224144,0.06773750483989716,0.09415947645902634,0.18195959962904404,0.067737505,0.076781966,0.044804517,0.012452762,0.78293353,Chittagong,Bandarban,19,4,2019
2018-03-02,0.07496763523668051,0.1267199143767357,0.15827881544828415,0.19011468440294266,0.2651995047926902,0.15827882,0.1602827,0.04850838,0.040867418,0.46982905,Chittagong,Bandarban,2,3,2018
2018-11-29,0.009487958648242057,0.017809236887842417,0.023241300135850906,0.029679907485842705,0.07102757096290566,0.0232413,0.026506424,0.016998475,0.0045445063,0.2979255,Chittagong,Bandarban,29,11,2018
2019-01-13,0.056652739830315116,0.08094560354948044,0.09526901319622993,0.1122494488954544,0.1566599428653716,0.09526901,0.098153636,0.025246173,0.034170385,0.2778738,Chittagong,Bandarban,13,1,2019
2018-05-21,0.01221678899601102,0.021520817186683416,0.030321656726300716,0.04219622630625963,0.08082109745591842,0.030321658,0.034427423,0.01887463,0.0068307025,0.3046007,Chittagong,Bandarban,21,5,2018
2018-07-08,0.0027441650629043577,0.008000993868336082,0.012051308993250132,0.01868085702881217,0.055730687920004,0.0120513085,0.015664866,0.013950563,0.0005354157,0.20445156,Chittagong,Bandarban,8,7,2018
2018-09-18,0.010744510032236577,0.01676042377948761,0.021154544316232204,0.027811724692583084,0.07354528661817304,0.021154545,0.025404558,0.017253177,0.0072068498,0.2298996,Chittagong,Bandarban,18,9,2018
2018-03-26,0.06417129747569561,0.11660765297710896,0.152627132833004,0.19441446289420128,0.30596208721399265,0.15262714,0.16075826,0.06284787,0.029589534,0.73899204,Chittagong,Bandarban,26,3,2018
2020-06-21,0.0059447419364005325,0.010717157972976565,0.014402526430785656,0.019508144352585077,0.04127472462132558,0.014402526,0.016678398,0.010280696,0.0030360967,0.20307401,Chittagong,Bandarban,21,6,2020
2020-10-27,0.009871147479861975,0.014779566321521997,0.01827170979231596,0.02311327261850238,0.057445023767649955,0.01827171,0.021416593,0.0138955,0.0059447372,0.18683161,Chittagong,Bandarban,27,10,2020
2019-03-02,0.044319698214530946,0.07063786685466766,0.09048118814826012,0.11597168631851673,0.18023646548390387,0.09048119,0.096565455,0.03606,0.027720286,0.37687972,Chittagong,Bandarban,2,3,2019
2019-11-05,0.008654437330551445,0.013901890255510807,0.01778721623122692,0.023304203059524298,0.061117687728255966,0.017787216,0.02119031,0.0148476735,0.0037126339,0.22619739,Chittagong,Bandarban,5,11,2019
2017-08-17,0.00664146151393652,0.012262229807674885,0.016606583259999752,0.023849577642977238,0.08219277951866384,0.016606584,0.022634665,0.021557724,0.0028152566,0.31840086,Chittagong,Bandarban,17,8,2017
2017-03-18,0.04185515595600009,0.08090776018798351,0.1077430285513401,0.1409468911588192,0.22692965567111958,0.107743025,0.11466297,0.048255775,0.022798155,0.44667804,Chittagong,Bandarban,18,3,2017
2017-11-13,0.006744938506744802,0.013402339536696672,0.01727251335978508,0.022903403267264366,0.06145336972549555,0.017272513,0.020780357,0.016045885,0.0034464297,0.24431129,Chittagong,Bandarban,13,11,2017
2018-01-21,0.05266656866297126,0.07227975130081177,0.08572178706526756,0.10134004801511765,0.1462144695222377,0.08572179,0.088872954,0.023869505,0.037877988,0.30517736,Chittagong,Bandarban,21,1,2018
2017-02-14,0.06606035362929105,0.09992635250091553,0.12120311334729195,0.14577586203813553,0.21400055922567843,0.12120311,0.12589137,0.03880789,0.03981096,0.4629006,Chittagong,Bandarban,14,2,2017
2017-06-22,0.005687317065894604,0.009562812745571136,0.012812526896595955,0.01771516026929021,0.04455371676012861,0.012812527,0.015526153,0.011047573,0.0030772386,0.20962445,Chittagong,Bandarban,22,6,2017
2018-02-22,0.05920464973896742,0.09176345355808735,0.11419941857457161,0.1408194825053215,0.2016348585486409,0.114199415,0.118552886,0.037981585,0.031024296,0.46103182,Chittagong,Bandarban,22,2,2018
2020-09-09,0.006172680947929621,0.010050088400021195,0.01361444080248475,0.018852980341762304,0.04690586077049373,0.01361444,0.01654141,0.012321825,0.00336816,0.22512822,Chittagong,Bandarban,9,9,2020
